,driverId,fname,lname,raceId,year,laps,fastestLapTime,fastestLap,fastestLapSpeed,averagelaptime,time_deviation,avg_pitstop,pit_dev
4173,846,Lando,Norris,1015.0,2019,78,76.413,61.0,157.214,80.45176923076922,6.212605018419012,25.026,
4174,846,Lando,Norris,1017.0,2019,52,94.75399999999999,45.0,221.955,97.73446153846152,3.4806025028442167,30.576,
4175,846,Lando,Norris,1018.0,2019,70,68.699,69.0,226.274,70.33269999999999,2.40943193948584,21.547,
4176,846,Lando,Norris,1019.0,2019,52,89.636,50.0,236.596,95.05255769230772,10.083573803154572,28.097,0.2517300141024096
4177,846,Lando,Norris,1020.0,2019,25,91.081,16.0,180.788,99.17960000000001,10.221279005095203,20.822000000000003,0.8202438661763952
4178,846,Lando,Norris,1021.0,2019,69,81.188,65.0,194.26,83.20560869565216,3.2634847903708852,26.066,
4179,846,Lando,Norris,1022.0,2019,43,108.321,21.0,232.774,115.83134883720932,17.819855894190077,23.182,
4180,846,Lando,Norris,1023.0,2019,52,84.044,52.0,248.141,87.13625,4.959326989741295,24.311,
4181,846,Lando,Norris,1024.0,2019,61,105.71600000000001,58.0,172.412,116.85960655737705,18.264914058816604,30.397,
4182,846,Lando,Norris,1025.0,2019,53,98.301,52.0,214.166,107.108320754717,16.00564038655122,29.29,
4183,846,Lando,Norris,1026.0,2019,51,94.116,31.0,222.121,96.95105882352942,4.412227525464953,24.648000000000003,0.9885352800987932
4184,846,Lando,Norris,1028.0,2019,56,98.074,44.0,202.365,102.25744642857144,4.08757846928135,25.227,0.7764032457428285
4185,846,Lando,Norris,1029.0,2019,71,72.328,63.0,214.472,78.95608450704226,10.978382641415264,23.368000000000002,0.018384776310850094
4186,846,Lando,Norris,1030.0,2019,54,103.02600000000001,50.0,194.071,105.03664814814812,3.276573026561859,22.974,
4187,846,Lando,Norris,1031.0,2020,71,67.475,71.0,230.378,76.91873239436619,14.889290585573574,21.240333333333336,2.7997587991349064
4188,846,Lando,Norris,1032.0,2020,71,67.193,66.0,231.345,70.87539436619721,7.925481956465078,22.406,
4189,846,Lando,Norris,1033.0,2020,69,79.945,42.0,197.28,84.32697101449276,6.148920105980864,22.877000000000002,0.19091883092036754
4190,846,Lando,Norris,1034.0,2020,52,90.05799999999999,41.0,235.488,101.99153846153845,21.410418930118986,30.289,
4191,846,Lando,Norris,1035.0,2020,52,90.69800000000001,49.0,233.826,93.22186538461538,4.285830187173552,28.4115,0.6540737725975545
4192,846,Lando,Norris,1036.0,2020,65,82.392,56.0,203.393,85.32544615384614,3.4484947442270433,21.93,0.23900209204105374
4193,846,Lando,Norris,1037.0,2020,44,108.55199999999999,39.0,232.279,115.73943181818181,16.229481482206683,23.046,
4194,846,Lando,Norris,1038.0,2020,53,84.232,50.0,247.587,121.3595471698113,219.0424053820635,773.3105,1058.8195728283927
4195,846,Lando,Norris,1039.0,2020,59,81.19800000000001,59.0,232.542,142.27022033898308,256.392168296932,561.0574,739.7474738647643
4196,846,Lando,Norris,1040.0,2020,52,97.37700000000001,50.0,216.198,108.96492307692307,20.145017967128442,34.238,4.058792924010781
4197,846,Lando,Norris,1041.0,2020,42,92.328,40.0,200.727,94.65597619047618,4.257656606621425,21.991,
4198,846,Lando,Norris,1042.0,2020,65,79.36,65.0,211.073,83.80673846153842,5.499450808594787,31.2785,4.9900525548334675
4199,846,Lando,Norris,1043.0,2020,63,78.069,63.0,226.368,84.6596984126984,13.038312484360702,29.942999999999998,0.3676955262170044
4200,846,Lando,Norris,1044.0,2020,58,96.806,58.0,198.508,106.9064137931034,9.28878721151793,23.185000000000002,0.7085209947489198
4201,846,Lando,Norris,1045.0,2020,57,93.588,53.0,208.18,126.29564912280702,163.83475863203617,401.08099999999996,651.9586464331921
4202,846,Lando,Norris,1046.0,2020,87,57.27,85.0,222.713,63.15695402298852,10.201008196762686,24.565,0.4525483399593908
4203,846,Lando,Norris,1047.0,2020,55,101.964,53.0,196.092,106.35225454545453,11.709676946579952,21.84,
4204,846,Lando,Norris,1051.0,2021,56,85.746,51.0,225.876,90.52117857142856,5.187663811589752,25.935499999999998,0.8718626612030135
4205,846,Lando,Norris,1052.0,2021,56,94.396,38.0,206.398,99.47076785714286,10.985580016120426,25.2695,0.5239661248592314
4206,846,Lando,Norris,1053.0,2021,63,78.259,63.0,225.819,117.11587301587302,205.9640785763924,807.8035,1099.0553628914697
4207,846,Lando,Norris,1054.0,2021,66,81.696,55.0,205.038,86.70893939393936,12.316721414251054,23.636666666666667,2.927586093240187
4208,846,Lando,Norris,1055.0,2021,65,81.279,56.0,207.064,86.34253846153844,7.969051229751497,22.1655,0.42638538905548673
4209,846,Lando,Norris,1056.0,2021,78,74.67,76.0,160.883,76.36214102564102,2.4010872955044142,23.874,
