,driverId,fname,lname,raceId,year,laps,fastestLapTime,fastestLap,fastestLapSpeed,avg_laptime,lap_deviation,avg_pitstop,pit_dev,race_position,circuitId,constructorId,q1,q2,q3,starting_position
58,1,Lewis,Hamilton,1061,2021,52,89.699,45.0,236.43,136.60161538461534,296.2112463553971,1044.3210000000001,1419.9481983685182,1.0,9.0,131.0,1:26.786,1:26.023,1:26.134,1.0
59,1,Lewis,Hamilton,1062,2021,70,78.715,49.0,200.363,106.94192857142856,182.2779870223167,378.42850000000004,713.887032266077,2.0,11.0,131.0,1:16.424,1:16.553,1:15.419,1.0
60,1,Lewis,Hamilton,1064,2021,72,71.097,72.0,215.654,75.3656527777778,3.7961220210716906,19.28,0.45603070072090574,2.0,39.0,131.0,1:10.114,1:09.726,1:08.923,2.0
61,1,Lewis,Hamilton,1065,2021,25,85.87,3.0,242.864,87.6894,3.8242143092841094,25.619,,,,131.0,1:20.543,1:19.936,1:19.651,2.0
62,1,Lewis,Hamilton,1066,2021,53,97.575,43.0,215.76,102.66039622641506,6.171867428220081,29.9615,0.11808683245815456,1.0,71.0,131.0,1:45.992,1:45.129,1:44.050,4.0
63,1,Lewis,Hamilton,1067,2021,58,92.763,52.0,207.16,94.92956896551726,2.6537488221287617,22.684,,5.0,5.0,131.0,1:24.585,1:23.082,1:22.868,1.0
64,1,Lewis,Hamilton,1069,2021,56,98.485,41.0,201.521,101.39080357142856,4.103043860885555,24.0785,0.569220958855173,2.0,69.0,131.0,1:34.579,1:33.797,1:33.119,2.0
65,1,Lewis,Hamilton,1070,2021,71,79.82,66.0,194.116,83.60057746478871,10.231658470037246,22.373,,2.0,32.0,131.0,1:17.207,1:16.474,1:16.020,2.0
66,1,Lewis,Hamilton,1071,2021,71,71.982,46.0,215.503,78.06832394366194,13.01593147402131,20.481,2.554163398584098,1.0,18.0,131.0,1:08.733,1:08.068,1:07.934,1.0
67,1,Lewis,Hamilton,1072,2021,50,90.73400000000001,47.0,244.962,151.50236,227.62049278468146,701.0366666666667,591.0397056791813,1.0,77.0,131.0,1:28.466,1:27.712,1:27.511,1.0
68,1,Lewis,Hamilton,1073,2021,58,86.615,43.0,219.495,93.44139655172411,15.662301124809165,21.595,,2.0,24.0,131.0,1:22.845,1:23.145,1:22.480,2.0
69,1,Lewis,Hamilton,1074,2022,57,96.22800000000001,53.0,202.469,102.8641929824561,11.190855132075152,25.525333333333332,0.3011085075738197,3.0,3.0,131.0,1:32.285,1:31.048,1:31.238,5.0
70,1,Lewis,Hamilton,1075,2022,50,92.997,47.0,239.001,102.66481999999998,16.758472296174034,21.788,,10.0,77.0,131.0,1:30.343,,,16.0
71,1,Lewis,Hamilton,1076,2022,58,81.886,51.0,232.039,91.29467241379311,18.38351465488151,17.877,,4.0,1.0,131.0,1:19.401,1:19.106,1:18.825,5.0
72,1,Lewis,Hamilton,1077,2022,62,81.419,50.0,217.054,89.4075,14.399665894063506,32.74,,13.0,21.0,131.0,1:20.470,1:21.138,,13.0
73,1,Lewis,Hamilton,1078,2022,57,92.941,55.0,209.629,99.74782456140352,14.777432879373398,18.82,,6.0,79.0,131.0,1:30.388,1:29.797,1:29.625,6.0
74,1,Lewis,Hamilton,1079,2022,66,84.253,51.0,199.755,89.31831818181821,5.747890093588433,25.133333333333336,5.127898627443148,5.0,4.0,131.0,1:20.252,1:19.794,1:19.512,6.0
75,1,Lewis,Hamilton,1080,2022,64,77.203,51.0,155.605,110.010203125,151.78410004472354,411.8613333333333,670.6671200903868,8.0,6.0,131.0,1:13.444,1:12.595,1:12.560,8.0
76,1,Lewis,Hamilton,1081,2022,51,107.044,39.0,201.887,112.11019607843137,9.955405631152571,21.1505,0.4518412331782034,4.0,73.0,131.0,1:43.939,1:43.182,1:42.924,7.0
77,1,Lewis,Hamilton,1082,2022,70,76.167,69.0,206.12,82.6966142857143,13.14129976397881,23.843,0.0028284271247446227,3.0,7.0,131.0,1:33.841,1:25.543,1:22.891,4.0
78,1,Lewis,Hamilton,1083,2022,52,90.51,52.0,234.312,159.16415384615382,430.3352362104335,1035.2403333333334,1742.1380335450842,3.0,9.0,131.0,1:40.428,1:41.062,1:41.995,5.0
79,1,Lewis,Hamilton,1084,2022,71,69.0,63.0,225.286,71.90885915492962,4.597275075817894,22.8615,0.23263813101037456,3.0,70.0,131.0,1:06.079,1:05.475,1:13.151,9.0
80,1,Lewis,Hamilton,1085,2022,53,97.668,30.0,215.333,102.12639622641508,12.529800242958665,37.189,,2.0,34.0,131.0,1:33.041,1:32.274,1:31.765,4.0
81,1,Lewis,Hamilton,1086,2022,70,81.386,57.0,193.787,85.48208571428573,5.748114203031921,21.897,0.2800142853498709,2.0,11.0,131.0,1:18.374,1:18.035,1:18.142,7.0
82,1,Lewis,Hamilton,11,2009,57,99.056,57.0,196.943,100.94117543859649,3.6636488745258515,,,2.0,12.0,1.0,1:38.649,1:38.182,1:39.489,1.0
83,1,Lewis,Hamilton,13,2009,52,84.80199999999999,52.0,245.923,86.53119230769231,4.667730208101785,,,12.0,14.0,1.0,1:23.375,1:22.973,1:24.066,1.0
84,1,Lewis,Hamilton,14,2009,61,108.345,36.0,168.561,114.20224590163927,14.986192969592308,,,1.0,15.0,1.0,1:46.977,1:46.657,1:47.891,1.0
85,1,Lewis,Hamilton,15,2009,53,93.259,13.0,224.162,100.13047169811318,17.751852528034036,,,3.0,22.0,1.0,1:30.917,1:30.627,1:32.395,3.0
86,1,Lewis,Hamilton,16,2009,71,74.345,59.0,208.654,78.33838028169016,10.643897463357243,,,3.0,18.0,1.0,1:25.192,,,18.0
87,1,Lewis,Hamilton,17,2009,20,100.36699999999999,16.0,199.212,103.6165,6.159828419517442,,,,,1.0,1:39.873,1:39.695,1:40.948,1.0
88,1,Lewis,Hamilton,18,2008,58,87.452,39.0,218.3,98.11406896551722,20.990356845141733,,,1.0,1.0,1.0,1:26.572,1:25.187,1:26.714,1.0
89,1,Lewis,Hamilton,19,2008,56,95.462,53.0,209.033,98.66255357142859,6.238336593325451,,,5.0,2.0,1.0,1:35.392,1:34.627,1:36.709,4.0
90,1,Lewis,Hamilton,2,2009,31,99.14099999999999,17.0,201.276,109.39854838709677,14.261509557403594,,,7.0,2.0,1.0,1:35.280,1:34.905,,13.0
91,1,Lewis,Hamilton,20,2008,56,95.52000000000001,25.0,203.969,97.90685714285716,6.138277212936635,,,13.0,3.0,1.0,1:32.750,1:31.922,1:33.292,3.0
92,1,Lewis,Hamilton,21,2008,66,82.017,20.0,204.323,89.44300000000003,16.149584262331764,,,3.0,4.0,1.0,1:21.366,1:20.825,1:22.096,5.0
93,1,Lewis,Hamilton,22,2008,58,86.529,31.0,222.085,89.88327586206893,9.177686636224864,,,2.0,5.0,1.0,1:26.192,1:26.477,1:27.923,3.0
94,1,Lewis,Hamilton,23,2008,76,78.51,71.0,153.152,95.29923684210529,15.618970657392602,,,1.0,6.0,1.0,1:15.582,1:15.322,1:15.839,3.0
95,1,Lewis,Hamilton,24,2008,19,77.506,4.0,202.559,85.78436842105265,21.79879270156065,,,,,1.0,1:16.909,1:17.034,1:17.886,1.0
96,1,Lewis,Hamilton,25,2008,70,77.453,40.0,205.022,79.49665714285713,4.044453904792551,,,10.0,8.0,1.0,1:15.634,1:15.293,1:16.693,3.0
97,1,Lewis,Hamilton,26,2008,60,92.81700000000001,16.0,199.398,99.15733333333338,7.25860152676077,,,1.0,9.0,1.0,1:20.288,1:19.537,1:21.835,4.0
98,1,Lewis,Hamilton,27,2008,67,76.039,17.0,216.552,81.80408955223884,15.298818069550089,,,1.0,10.0,1.0,1:15.218,1:14.603,1:15.666,1.0
99,1,Lewis,Hamilton,28,2008,70,81.493,15.0,193.533,83.85878571428572,6.266302792919171,,,5.0,11.0,1.0,1:19.376,1:19.473,1:20.899,1.0
100,1,Lewis,Hamilton,29,2008,57,98.884,16.0,197.285,100.66578947368417,3.2444900751496175,,,2.0,12.0,1.0,1:38.464,1:37.954,1:39.199,2.0
101,1,Lewis,Hamilton,3,2009,56,114.66499999999999,39.0,171.138,127.41698214285715,19.488057566800954,,,6.0,17.0,1.0,1:35.776,1:35.740,1:38.595,9.0
102,1,Lewis,Hamilton,30,2008,44,108.13499999999999,20.0,233.175,113.40756818181816,12.667113867784929,,,3.0,13.0,1.0,1:46.887,1:46.088,1:47.338,1.0
103,1,Lewis,Hamilton,31,2008,53,89.721,52.0,232.44,98.81898113207549,13.54152893096266,,,7.0,14.0,1.0,1:35.394,1:39.265,,15.0
104,1,Lewis,Hamilton,32,2008,61,106.072,14.0,171.969,115.44624590163932,20.97120503981252,,,3.0,15.0,1.0,1:44.501,1:44.932,1:45.465,2.0
105,1,Lewis,Hamilton,33,2008,67,79.56,65.0,206.47,82.10137313432837,5.830655875149793,,,12.0,16.0,1.0,1:18.071,1:17.462,1:18.404,1.0
106,1,Lewis,Hamilton,337,2010,49,119.56,42.0,189.665,122.11383673469386,3.3188810008478913,,,3.0,3.0,1.0,1:55.341,1:54.707,1:55.217,4.0
107,1,Lewis,Hamilton,338,2010,58,88.506,47.0,215.7,97.35222413793105,16.424708115159277,,,6.0,1.0,1.0,1:25.046,1:25.184,,11.0
108,1,Lewis,Hamilton,339,2010,56,97.745,32.0,204.151,100.92648214285714,3.387174971947038,,,6.0,2.0,1.0,1:53.050,,,20.0
109,1,Lewis,Hamilton,34,2008,56,96.325,13.0,203.722,98.52505357142859,4.6720076253815535,,,1.0,17.0,1.0,1:35.566,1:34.947,1:36.303,1.0
110,1,Lewis,Hamilton,340,2010,56,102.061,13.0,192.273,114.35166071428576,12.853375381625405,,,2.0,17.0,1.0,1:35.641,1:34.928,1:35.034,6.0
111,1,Lewis,Hamilton,341,2010,64,84.357,59.0,198.655,87.17612499999996,2.80031235502654,,,14.0,4.0,1.0,1:21.723,1:21.415,1:20.829,3.0
112,1,Lewis,Hamilton,342,2010,78,76.219,68.0,157.755,84.84253846153844,15.038293136507894,,,5.0,6.0,1.0,1:15.676,1:14.527,1:14.432,5.0
113,1,Lewis,Hamilton,343,2010,58,90.075,54.0,213.342,91.85551724137932,2.8503146532452406,,,1.0,5.0,1.0,1:27.667,1:27.013,1:26.433,2.0
114,1,Lewis,Hamilton,344,2010,70,77.806,62.0,201.778,80.47794285714284,3.319535998157601,,,1.0,7.0,1.0,1:15.889,1:15.528,1:15.105,1.0
115,1,Lewis,Hamilton,345,2010,57,99.156,56.0,196.744,105.87040350877193,14.559598704070073,,,2.0,12.0,1.0,1:38.697,1:38.158,1:37.969,3.0
116,1,Lewis,Hamilton,346,2010,52,92.75800000000001,43.0,228.633,97.68384615384619,10.328356918819853,,,2.0,9.0,1.0,1:31.297,1:31.118,1:30.556,4.0
117,1,Lewis,Hamilton,347,2010,67,76.503,65.0,215.238,78.89194029850745,2.5740672443042176,,,4.0,10.0,1.0,1:15.505,1:14.488,1:14.566,6.0
118,1,Lewis,Hamilton,348,2010,23,86.258,22.0,182.842,91.38908695652174,10.855112351970984,,,,,1.0,1:21.455,1:20.877,1:20.499,5.0
119,1,Lewis,Hamilton,349,2010,44,109.069,32.0,231.178,121.46063636363637,20.32215217165616,,,1.0,13.0,1.0,1:56.706,1:46.211,1:45.863,2.0
120,1,Lewis,Hamilton,35,2008,71,74.159,31.0,209.177,80.14566197183099,11.471970970205927,,,5.0,18.0,1.0,1:12.213,1:11.856,1:12.830,4.0
121,1,Lewis,Hamilton,351,2010,35,110.75,31.0,164.901,120.80017142857143,15.474123682278549,,,,,1.0,1:48.296,1:46.042,1:45.571,3.0
122,1,Lewis,Hamilton,352,2010,53,95.182,35.0,219.633,103.14939622641509,16.96704103587489,,,5.0,22.0,1.0,1:32.809,1:31.523,1:31.169,3.0
123,1,Lewis,Hamilton,353,2010,55,110.43,42.0,183.048,183.9238,379.39989187137996,,,2.0,35.0,1.0,1:37.113,1:36.197,1:36.062,4.0
